account_id,account_number,primary_customer_id,product_id,branch_id,open_date,currency,current_balance_thb,available_balance_thb,status
ACC00000001,347-6-83403-5,CUS0009909,PRD-SAV02,BR0015,2025-11-15,THB,85611.16,83898.94,Active
ACC00000002,493-1-17164-6,CUS0001212,PRD-SAV02,BR0027,2025-01-04,THB,9894.82,9696.92,Active
ACC00000003,802-3-69955-9,CUS0003853,PRD-SAV02,BR0020,2025-11-18,THB,11027.26,10806.71,Active
ACC00000004,551-3-35574-4,CUS0006526,PRD-SAL01,BR0015,2020-03-29,THB,1521292.25,1490866.4,Active
ACC00000005,306-1-82155-6,CUS0003271,PRD-SAL01,BR0048,2020-05-16,THB,928594.05,910022.17,Active
ACC00000006,541-8-84482-6,CUS0000458,PRD-CUR01,BR0007,2025-01-26,THB,16566.78,16235.44,Active
ACC00000007,477-7-42525-0,CUS0006754,PRD-SAV02,BR0038,2018-02-10,THB,170600.91,167188.89,Dormant
ACC00000008,606-1-14869-8,CUS0003564,PRD-SAV01,BR0030,2021-03-27,THB,1660381.86,1627174.22,Closed
ACC00000009,395-7-25047-5,CUS0007221,PRD-SAV01,BR0020,2019-06-17,THB,194959.28,191060.09,Active
ACC00000010,262-6-87210-0,CUS0009106,PRD-SAV02,BR0036,2025-07-04,THB,92727.1,90872.56,Closed
ACC00000011,775-9-37029-5,CUS0000024,PRD-SAV02,BR0038,2025-07-29,THB,1157798.63,1134642.66,Active
ACC00000012,692-3-87258-0,CUS0001662,PRD-SAL01,BR0002,2026-03-29,THB,164745.53,161450.62,Active
ACC00000013,645-7-11006-7,CUS0001836,PRD-SAV01,BR0024,2024-04-02,THB,288172.74,282409.29,Active
ACC00000014,919-5-56918-2,CUS0002518,PRD-SAL01,BR0025,2021-12-28,THB,439433.19,430644.53,Active
ACC00000015,823-9-80732-5,CUS0000876,PRD-SAV02,BR0033,2024-08-24,THB,1145772.71,1122857.26,Active
ACC00000016,138-5-45532-0,CUS0000395,PRD-CUR01,BR0048,2023-12-28,THB,560.65,549.44,Active
ACC00000017,875-9-13285-1,CUS0000099,PRD-SAV02,BR0034,2025-12-03,THB,10640.14,10427.34,Active
ACC00000018,664-1-90588-4,CUS0002400,PRD-SAV01,BR0044,2020-10-11,THB,152561.04,149509.82,Active
ACC00000019,825-9-83955-4,CUS0000711,PRD-SAV01,BR0020,2022-11-28,THB,4189.06,4105.28,Active
ACC00000020,101-1-40929-0,CUS0002847,PRD-SAV01,BR0047,2022-12-30,THB,884018.02,866337.66,Active
ACC00000021,188-5-62676-9,CUS0003241,PRD-SAL01,BR0039,2024-07-03,THB,10121.25,9918.83,Active
ACC00000022,850-6-99168-4,CUS0009547,PRD-SAL01,BR0034,2025-06-18,THB,1428875.99,1400298.47,Active
ACC00000023,232-0-96232-2,CUS0008461,PRD-SAV01,BR0039,2025-12-13,THB,621256.67,608831.54,Active
ACC00000024,492-3-52109-6,CUS0001846,PRD-SAL01,BR0017,2024-11-01,THB,124250.4,121765.39,Active
ACC00000025,525-9-92747-7,CUS0009451,PRD-SAL01,BR0001,2025-07-01,THB,936795.32,918059.41,Active
ACC00000026,478-7-33366-3,CUS0006543,PRD-CUR01,BR0011,2024-06-18,THB,4954.75,4855.66,Active
ACC00000027,665-5-64953-5,CUS0007775,PRD-SAV01,BR0022,2020-02-01,THB,5513.89,5403.61,Active
ACC00000028,835-5-25711-5,CUS0000577,PRD-SAV02,BR0027,2021-12-23,THB,15948.9,15629.92,Active
ACC00000029,807-1-79384-0,CUS0000546,PRD-SAV01,BR0032,2022-04-10,THB,386993.12,379253.26,Active
ACC00000030,965-1-43070-7,CUS0008916,PRD-SAL01,BR0019,2025-04-30,THB,1090384.44,1068576.75,Active
ACC00000031,365-8-98846-5,CUS0002017,PRD-SAV02,BR0009,2020-01-23,THB,52891.19,51833.37,Active
ACC00000032,742-9-93827-8,CUS0009306,PRD-SAV01,BR0043,2023-01-22,THB,100076.17,98074.65,Active
ACC00000033,486-1-51498-2,CUS0002090,PRD-SAV01,BR0019,2018-09-21,THB,1363003.18,1335743.12,Active
ACC00000034,701-6-53325-7,CUS0005281,PRD-SAV02,BR0044,2024-09-24,THB,4192.66,4108.81,Active
ACC00000035,804-3-30739-0,CUS0007623,PRD-SAV02,BR0006,2018-01-16,THB,328820.43,322244.02,Active
ACC00000036,857-8-34667-3,CUS0002398,PRD-SAV01,BR0020,2023-03-25,THB,97912.88,95954.62,Active
ACC00000037,569-1-14595-6,CUS0006730,PRD-SAV02,BR0044,2020-09-08,THB,8030.98,7870.36,Active
ACC00000038,172-6-78613-4,CUS0005567,PRD-SAV01,BR0025,2026-04-28,THB,38367.15,37599.81,Active
ACC00000039,445-1-28669-6,CUS0007122,PRD-SAV02,BR0016,2025-04-21,THB,10269.0,10063.62,Active
ACC00000040,430-1-12451-0,CUS0003081,PRD-CUR01,BR0011,2024-11-04,THB,9349.76,9162.76,Active
ACC00000041,503-0-55752-8,CUS0008245,PRD-SAV01,BR0036,2025-11-07,THB,82081.98,80440.34,Active
ACC00000042,883-5-76232-0,CUS0005755,PRD-SAV02,BR0006,2023-12-30,THB,8077.03,7915.49,Active
ACC00000043,601-6-89636-8,CUS0009035,PRD-SAV02,BR0043,2026-02-13,THB,719.73,705.34,Active
ACC00000044,571-8-12041-7,CUS0003629,PRD-SAL01,BR0035,2019-11-10,THB,139221.74,136437.31,Active
ACC00000045,480-0-77116-0,CUS0002277,PRD-SAV02,BR0049,2020-09-07,THB,984936.17,965237.45,Active
ACC00000046,532-1-56627-6,CUS0006415,PRD-SAV02,BR0042,2024-12-16,THB,1634650.0,1601957.0,Active
ACC00000047,456-9-84564-5,CUS0003638,PRD-SAV02,BR0006,2022-07-23,THB,205452.39,201343.34,Closed
ACC00000048,668-0-51055-6,CUS0005671,PRD-SAV01,BR0022,2022-03-26,THB,80400.71,78792.7,Dormant
ACC00000049,465-4-99353-4,CUS0006486,PRD-SAV01,BR0022,2021-11-16,THB,1361174.54,1333951.05,Closed
ACC00000050,262-5-51614-0,CUS0001748,PRD-CUR01,BR0008,2023-09-21,THB,17676.85,17323.31,Active
ACC00000051,919-3-66673-8,CUS0003109,PRD-CUR01,BR0035,2019-07-25,THB,15767.5,15452.15,Active
ACC00000052,413-1-27585-9,CUS0001745,PRD-SAV02,BR0036,2020-12-02,THB,25503.48,24993.41,Closed
ACC00000053,303-2-86059-2,CUS0008589,PRD-SAL01,BR0018,2019-02-18,THB,9321.97,9135.53,Active
ACC00000054,412-4-95940-1,CUS0004936,PRD-SAL01,BR0040,2020-12-20,THB,7983.48,7823.81,Active
ACC00000055,231-6-41860-8,CUS0007448,PRD-CUR01,BR0045,2025-02-18,THB,2257.54,2212.39,Active
ACC00000056,304-6-40430-6,CUS0005026,PRD-SAL01,BR0033,2021-04-29,THB,1987045.19,1947304.29,Active
ACC00000057,653-1-13662-8,CUS0008947,PRD-CUR01,BR0018,2022-12-28,THB,77362.09,75814.85,Active
