card_id,card_number_masked,customer_id,product_id,linked_account_id,card_type,issue_date,expiry_date,credit_limit_thb,current_outstanding_thb,status
CRD0000001,5719-XXXX-XXXX-5468,CUS0008303,PRD-CC03,,Credit,2022-01-12,2028-10-01,1182207.0,180866.76,Active
CRD0000002,4572-XXXX-XXXX-8212,CUS0009467,PRD-DC01,ACC00008940,Debit,2020-11-28,2030-12-19,0.0,0.0,Active
CRD0000003,5162-XXXX-XXXX-7410,CUS0004907,PRD-CC01,,Credit,2023-01-15,2029-03-28,87287.91,191902.76,Active
CRD0000004,5589-XXXX-XXXX-1939,CUS0004373,PRD-DC02,ACC00014322,Debit,2020-02-24,2027-03-22,0.0,0.0,Active
CRD0000005,4962-XXXX-XXXX-8485,CUS0004938,PRD-CC04,,Credit,2020-03-18,2029-08-18,1361666.04,164220.73,Active
CRD0000006,5685-XXXX-XXXX-4022,CUS0005949,PRD-CC03,,Credit,2020-12-13,2029-07-10,501623.9,48876.85,Active
CRD0000007,4587-XXXX-XXXX-3987,CUS0004858,PRD-DC01,ACC00016995,Debit,2025-07-27,2027-03-04,0.0,0.0,Active
CRD0000008,4637-XXXX-XXXX-9237,CUS0006629,PRD-CC04,,Credit,2022-03-27,2029-10-11,1019432.78,30737.47,Blocked
CRD0000009,4302-XXXX-XXXX-3966,CUS0002689,PRD-CC01,,Credit,2025-08-19,2028-05-30,1291936.7,78928.34,Active
CRD0000010,4595-XXXX-XXXX-9735,CUS0002663,PRD-CC04,,Credit,2024-10-09,2027-02-23,536657.54,101269.24,Active
CRD0000011,5777-XXXX-XXXX-7359,CUS0005166,PRD-CC04,,Credit,2024-07-23,2030-09-27,1187318.11,137553.87,Active
CRD0000012,4710-XXXX-XXXX-3040,CUS0009383,PRD-CC04,,Credit,2020-11-03,2027-12-29,422751.39,178573.5,Active
CRD0000013,5464-XXXX-XXXX-8811,CUS0007524,PRD-DC01,ACC00005243,Debit,2025-05-16,2029-10-09,0.0,0.0,Active
CRD0000014,4222-XXXX-XXXX-2899,CUS0006989,PRD-CC01,,Credit,2022-07-18,2030-05-19,198835.21,102431.29,Active
CRD0000015,4454-XXXX-XXXX-4074,CUS0003920,PRD-CC01,,Credit,2020-06-04,2029-02-22,1095665.88,27295.53,Active
CRD0000016,4854-XXXX-XXXX-7638,CUS0003741,PRD-DC02,,Debit,2026-04-11,2028-09-12,0.0,0.0,Active
CRD0000017,4796-XXXX-XXXX-9915,CUS0008503,PRD-DC01,ACC00000535,Debit,2021-08-26,2030-01-24,0.0,0.0,Active
CRD0000018,4598-XXXX-XXXX-1980,CUS0005233,PRD-CC03,,Credit,2023-05-19,2028-09-11,1373599.36,8632.65,Active
CRD0000019,5113-XXXX-XXXX-4096,CUS0000454,PRD-CC01,,Credit,2021-11-23,2030-09-29,417178.27,140391.35,Active
CRD0000020,5315-XXXX-XXXX-3841,CUS0001884,PRD-CC02,,Credit,2025-06-12,2030-01-14,493892.45,110250.23,Active
