address_id,customer_id,address_type,address_line1,district,province,postal_code,country,is_primary
ADR0000001,CUS0000001,Registered,612/53 ถนนเลิศกิ่ง,อุบลราชธานี,นนทบุรี,11030,TH,True
ADR0000002,CUS0000002,Registered,270/2 ถนนนครเทพ,สวนหลวง,กรุงเทพมหานคร,62620,TH,True
ADR0000003,CUS0000003,Registered,6 ถนนทหารแท้,แหลมฉบัง,ปทุมธานี,35720,TH,True
ADR0000004,CUS0000004,Registered,10 หมู่ 59 ถนนธัญเสถียร,สงขลา,ปทุมธานี,89480,TH,True
ADR0000005,CUS0000005,Registered,72 ถ.ทุมะบุตร์,นนทบุรี,สุราษฎร์ธานี,23210,TH,True
ADR0000006,CUS0000006,Registered,69 หมู่ 56 ถ.ถนอมมนุษย์,พิษณุโลก,เชียงราย,93850,TH,True
ADR0000007,CUS0000007,Registered,41/69 ถ.ถุงเงิน,บางรัก,กรุงเทพมหานคร,18440,TH,True
ADR0000008,CUS0000008,Registered,98 หมู่ 6 ถนนตรีเภรินทร์,รังสิต,ปทุมธานี,26950,TH,True
ADR0000009,CUS0000008,Mailing,839 ถนนตวงทอง,กรุงเทพมหานคร,สมุทรสาคร,27650,TH,False
ADR0000010,CUS0000009,Registered,67/75 ถนนตวงทอง,นครศรีธรรมราช,ขอนแก่น,82500,TH,True
ADR0000011,CUS0000010,Registered,9/8 ถ.นวลฉวี,สมุทรสาคร,นครราชสีมา,97730,TH,True
ADR0000012,CUS0000011,Registered,00/73 ถนนเลิศกิ่ง,พระนครศรีอยุธยา,นครราชสีมา,32700,TH,True
ADR0000013,CUS0000012,Registered,3 ถ.ทองประดิฐ,สงขลา,เชียงราย,71320,TH,True
ADR0000014,CUS0000012,Mailing,425 ถ.นากกนก,อ้อมน้อย,นครราชสีมา,71340,TH,False
ADR0000015,CUS0000013,Registered,512/3 ถ.บุนยาภิสนท์,นครปฐม,ขอนแก่น,41440,TH,True
ADR0000016,CUS0000014,Registered,35/9 ถนนศรีอุ่น,เชียงใหม่,นนทบุรี,56830,TH,True
ADR0000017,CUS0000015,Registered,82 หมู่ 94 ถ.บุนยะตีรณะ,จตุจักร,กรุงเทพมหานคร,21090,TH,True
ADR0000018,CUS0000016,Registered,56/7 ถนนตะละภัฏ,นครปฐม,ขอนแก่น,47140,TH,True
ADR0000019,CUS0000017,Registered,479/50 ถนนภูภักดี,สวนหลวง,กรุงเทพมหานคร,82820,TH,True
ADR0000020,CUS0000018,Registered,1/8 ถ.นิลวรรณ,เชียงราย,นครปฐม,48150,TH,True
ADR0000021,CUS0000019,Registered,08 ถ.ฉัพพรรณธนกูร,พิษณุโลก,เชียงใหม่,72870,TH,True
ADR0000022,CUS0000020,Registered,19 หมู่ 9 ถนนมิ่งขวัญ,ดอนเมือง,กรุงเทพมหานคร,21020,TH,True
ADR0000023,CUS0000021,Registered,941/27 ถนนดาบเพ็ชร์,อุดรธานี,ปทุมธานี,55210,TH,True
ADR0000024,CUS0000022,Registered,24/10 ถ.ทศโยธิน,ห้วยขวาง,กรุงเทพมหานคร,78280,TH,True
