contact_id,customer_id,channel,value,is_primary,verified
CNT0000001,CUS0000001,Phone,0688446936,True,True
CNT0000002,CUS0000001,Email,nanderson@example.com,False,False
CNT0000003,CUS0000001,LINE,@lmorris,False,False
CNT0000004,CUS0000002,Phone,0950440749,True,True
CNT0000005,CUS0000002,Email,ejohnson@example.org,False,True
CNT0000006,CUS0000002,LINE,@audreypowers,False,False
CNT0000007,CUS0000003,Phone,0974542641,True,True
CNT0000008,CUS0000003,Email,johnsonwilliam@example.org,False,True
CNT0000009,CUS0000004,Phone,0645382756,True,True
CNT0000010,CUS0000005,Phone,0669471640,True,True
CNT0000011,CUS0000005,Email,david39@example.net,False,True
CNT0000012,CUS0000006,Phone,0622405305,True,True
CNT0000013,CUS0000006,Email,rebekahbrown@example.com,False,True
CNT0000014,CUS0000007,Phone,0965272722,True,True
CNT0000015,CUS0000007,Email,adam28@example.com,False,True
CNT0000016,CUS0000007,LINE,@catherine65,False,False
CNT0000017,CUS0000008,Phone,0610604877,True,True
CNT0000018,CUS0000008,LINE,@kristin59,False,False
CNT0000019,CUS0000009,Phone,0935334627,True,True
CNT0000020,CUS0000009,Email,fadams@example.net,False,True
CNT0000021,CUS0000010,Phone,0686327861,True,True
CNT0000022,CUS0000010,Email,nscott@example.org,False,True
CNT0000023,CUS0000010,LINE,@timothy11,False,False
CNT0000024,CUS0000011,Phone,0921317540,True,True
CNT0000025,CUS0000011,Email,qserrano@example.com,False,False
CNT0000026,CUS0000012,Phone,0660425802,True,True
CNT0000027,CUS0000012,Email,operez@example.org,False,True
CNT0000028,CUS0000012,LINE,@aperry,False,False
CNT0000029,CUS0000013,Phone,0931627877,True,True
CNT0000030,CUS0000013,Email,monicadiaz@example.org,False,True
CNT0000031,CUS0000013,LINE,@tmiller,False,False
CNT0000032,CUS0000014,Phone,0611351111,True,True
CNT0000033,CUS0000014,Email,fergusoncraig@example.org,False,True
CNT0000034,CUS0000015,Phone,0811065644,True,True
CNT0000035,CUS0000015,Email,mclaughlinroy@example.net,False,True
CNT0000036,CUS0000015,LINE,@lauraking,False,False
CNT0000037,CUS0000016,Phone,0647821303,True,True
CNT0000038,CUS0000016,Email,ntucker@example.com,False,True
CNT0000039,CUS0000017,Phone,0698480763,True,True
CNT0000040,CUS0000017,Email,john68@example.org,False,True
CNT0000041,CUS0000017,LINE,@fwalsh,False,False
CNT0000042,CUS0000018,Phone,0864668658,True,True
CNT0000043,CUS0000018,Email,stevenbarrett@example.org,False,True
CNT0000044,CUS0000019,Phone,0650842347,True,True
CNT0000045,CUS0000019,Email,michellejohnson@example.org,False,True
CNT0000046,CUS0000019,LINE,@robertsondavid,False,False
CNT0000047,CUS0000020,Phone,0954025781,True,True
CNT0000048,CUS0000020,Email,marcusstokes@example.com,False,True
CNT0000049,CUS0000020,LINE,@harrisstephen,False,False
CNT0000050,CUS0000021,Phone,0660191939,True,True
CNT0000051,CUS0000021,Email,leachveronica@example.org,False,False
CNT0000052,CUS0000021,LINE,@cody29,False,False
CNT0000053,CUS0000022,Phone,0916309470,True,True
CNT0000054,CUS0000022,Email,devinjones@example.org,False,True
