customer_id,national_id,first_name,last_name,full_name,gender,date_of_birth,marital_status,occupation,monthly_income_thb,preferred_language,onboarding_date,is_active
CUS0000001,3-1466-90817-59-6,สุมัชญา,หนุนสุข,สุมัชญา หนุนสุข,F,1973-08-18,Divorced,พยาบาล,404596.4,TH,2019-06-04,True
CUS0000002,3-4894-84667-95-3,กิติวัฒน์,นานายน,กิติวัฒน์ นานายน,M,1972-03-16,Widowed,พนักงานบริษัท,118276.16,TH,2024-10-23,True
CUS0000003,3-6642-88816-81-7,นรีรัตน์,ถนัดกลึง,นรีรัตน์ ถนัดกลึง,F,1960-09-15,Divorced,พนักงานธนาคาร,74598.0,EN,2023-05-23,True
CUS0000004,7-8052-97282-69-7,พิพิธธน,ขุนดำ,พิพิธธน ขุนดำ,M,1995-12-01,Married,พนักงานธนาคาร,62926.96,TH,2022-02-03,True
CUS0000005,5-1990-80051-37-1,เฉลิมรัตน์,ดีตพันธุ์,เฉลิมรัตน์ ดีตพันธุ์,M,1982-06-26,Widowed,พนักงานบริษัท,68181.25,TH,2020-10-31,True
CUS0000006,7-6765-42017-30-6,วาสุเทพ,ธนรักษ์,วาสุเทพ ธนรักษ์,M,1957-01-24,Single,ค้าขาย / เจ้าของกิจการ,63693.54,TH,2025-05-21,True
CUS0000007,1-1416-33888-16-8,เจตธนากร,ธัญาโภชน์,เจตธนากร ธัญาโภชน์,M,1958-04-22,Widowed,ครู / อาจารย์,49516.75,TH,2024-11-30,True
CUS0000008,4-6769-22546-95-2,นาตยา,ดาตู,นาตยา ดาตู,F,1959-12-14,Married,ครู / อาจารย์,28683.74,TH,2020-02-01,True
CUS0000009,4-9826-84541-66-6,ทวีวัฒน์,วะคีมัน,ทวีวัฒน์ วะคีมัน,M,1988-11-28,Married,พนักงานธนาคาร,1344305.22,TH,2018-09-04,True
CUS0000010,3-5139-27012-12-7,รังสินี,นำธวัช,รังสินี นำธวัช,F,1963-06-10,Single,วิศวกร,60118.7,TH,2022-10-27,True
CUS0000011,8-2704-47824-76-3,พชรภรณ์,เจริญรัมย์,พชรภรณ์ เจริญรัมย์,F,2001-06-17,Married,เกษตรกร,20522.68,TH,2026-01-23,True
CUS0000012,3-2766-42119-38-2,นันทวุฒิ,แก้วชลคราม,นันทวุฒิ แก้วชลคราม,M,1968-03-19,Single,วิศวกร,69046.7,TH,2025-02-28,True
CUS0000013,8-9337-70712-21-0,เชิงชาย,ธุวะนุติ์,เชิงชาย ธุวะนุติ์,M,1969-03-07,Married,พนักงานธนาคาร,1083188.0,TH,2018-02-07,True
CUS0000014,8-8319-12982-53-0,นิติ,นาถะเดชะ,นิติ นาถะเดชะ,M,1972-06-11,Divorced,พยาบาล,831200.37,TH,2019-07-21,True
CUS0000015,5-8362-13091-12-4,นรีรัตน์,บุญศล,นรีรัตน์ บุญศล,F,1967-07-19,Single,เกษตรกร,40328.09,TH,2019-05-18,True
CUS0000016,2-9629-73464-71-1,ชัชเวศย์,ถาวรายุศม์,ชัชเวศย์ ถาวรายุศม์,M,1984-01-10,Single,แพทย์,147428.51,TH,2025-03-28,True
CUS0000017,4-8512-35110-29-5,พันธุ์เทพ,ถนอมพล,พันธุ์เทพ ถนอมพล,M,1975-01-11,Married,วิศวกร,438845.25,TH,2021-09-07,True
