lead_id,lead_source,customer_id,lead_full_name,phone,email,interested_product_id,owner_employee_id,status,created_at,score
LED000001,Branch Walk-in,,อัญธิกา ตวงทอง,0856506833,sylvia05@example.com,PRD-DG01,EMP00480,Contacted,2025-06-17T23:11:00,21
LED000002,Cold Call,CUS0006832,,0975454255,alisoncooper@example.com,PRD-DC02,EMP00296,New,2026-03-27T23:30:00,55
LED000003,Referral,CUS0004967,,0959681136,palvarado@example.net,PRD-DC02,EMP00129,New,2025-09-05T02:20:00,62
LED000004,Referral,,ภูวรา นาคพันธุ์,0822415378,robertbrooks@example.org,PRD-SAV02,EMP00010,Contacted,2025-05-02T08:17:00,64
LED000005,Cold Call,CUS0004385,,0892347259,melissa91@example.org,PRD-DG01,EMP00297,Disqualified,2025-07-12T05:14:00,40
LED000006,Web Form,CUS0001399,,0983844190,lisa02@example.com,PRD-WL04,EMP00191,Qualified,2025-10-05T04:37:00,52
LED000007,Cold Call,,วาร์มูฮำหมัด นาคพันธุ์,0691347718,laurazimmerman@example.org,PRD-DG02,EMP00194,Disqualified,2025-04-17T07:08:00,11
LED000008,Cold Call,CUS0006633,,0922270654,williamstimothy@example.org,PRD-WL04,EMP00002,Contacted,2025-08-30T07:58:00,30
LED000009,Referral,CUS0003178,,0981224362,walkerdebra@example.com,PRD-DG02,EMP00121,Qualified,2025-04-14T14:32:00,41
LED000010,Referral,CUS0007815,,0919607282,frankhaas@example.org,PRD-DG02,EMP00148,Qualified,2025-05-31T23:05:00,91
LED000011,Partner,,นิชนันท์ ธัญเสถียร,0861197073,craigricardo@example.org,PRD-LN01,EMP00163,Qualified,2025-04-28T09:39:00,64
LED000012,Branch Walk-in,CUS0004187,,0818993542,douglas35@example.net,PRD-WL01,EMP00206,Qualified,2025-09-18T05:03:00,20
LED000013,Campaign,CUS0002959,,0665996701,arroyodeborah@example.net,PRD-IN02,EMP00070,Contacted,2026-01-26T17:04:00,91
LED000014,Partner,,เสรี นำธวัช,0641059774,julia40@example.com,PRD-CUR01,EMP00204,Contacted,2025-04-19T05:42:00,1
LED000015,Campaign,,หลี นิยมสำหรวจ,0977505556,howardnorman@example.com,PRD-DC02,EMP00167,Qualified,2025-05-03T09:10:00,20
LED000016,Campaign,,ฉัตรปรียา นกทอง,0630825412,christinajimenez@example.org,PRD-LN03,EMP00130,Qualified,2025-08-16T02:42:00,89
LED000017,Referral,CUS0003079,,0864036576,james34@example.net,PRD-DG02,EMP00198,New,2025-01-08T14:56:00,50
LED000018,Cold Call,,ปิยวดี นิยมธรรม,0625724955,emcintosh@example.org,PRD-LN03,EMP00247,Converted,2025-10-01T22:50:00,18
LED000019,Web Form,CUS0005780,,0691754281,debrajackson@example.com,PRD-DC01,EMP00485,Converted,2025-04-29T08:51:00,87
LED000020,Campaign,,โกมล นามขำ,0945046506,larrysmith@example.net,PRD-WL04,EMP00106,Contacted,2025-09-18T00:54:00,0
LED000021,Branch Walk-in,CUS0000534,,0998375164,dillonellis@example.net,PRD-CC02,EMP00369,New,2026-01-12T11:31:00,91
LED000022,Branch Walk-in,,จรรยพร อัตตนาถ,0890468287,sjacobson@example.org,PRD-LN01,EMP00467,Disqualified,2025-04-22T18:34:00,89
LED000023,Campaign,CUS0002994,,0685951974,sandrawright@example.org,PRD-SAV01,EMP00284,Converted,2025-06-03T01:46:00,36
LED000024,Referral,,เชิงชาย หอมพิกุล,0991699562,adamschristopher@example.org,PRD-WL01,EMP00088,Contacted,2025-01-31T19:27:00,30
LED000025,Cold Call,,ภานุพล ดิศดใน,0624211288,natasha93@example.net,PRD-FD01,EMP00279,Qualified,2025-04-03T11:16:00,30
LED000026,Referral,,สุภาลินี พรสีมา,0974365468,cfletcher@example.net,PRD-DC02,EMP00204,Disqualified,2026-03-31T01:48:00,28
LED000027,Partner,,นันทวรรณ ธรรมสถิตไพศาล,0976027121,donaldcoleman@example.org,PRD-FD02,EMP00299,Qualified,2025-03-12T06:29:00,94
LED000028,Web Form,CUS0007118,,0641256440,geraldlarson@example.com,PRD-WL02,EMP00395,Disqualified,2025-02-03T14:42:00,54
LED000029,Cold Call,,ฟิรยา แนวพญา,0696961609,nataliewarren@example.org,PRD-FD01,EMP00452,Converted,2025-01-15T13:46:00,60
LED000030,Referral,,ธาเอก ตวันเยี่ยม,0817613151,oliverjessica@example.com,PRD-IN02,EMP00321,Converted,2025-06-17T23:31:00,29
LED000031,Web Form,CUS0000866,,0927043586,jeffrey66@example.org,PRD-SAL01,EMP00075,Qualified,2025-05-06T15:21:00,70
LED000032,Partner,CUS0008539,,0967071415,ryoung@example.com,PRD-IN01,EMP00123,Qualified,2025-11-27T18:49:00,20
LED000033,Web Form,CUS0000976,,0699750994,jcox@example.org,PRD-WL04,EMP00326,Converted,2026-03-15T10:50:00,73
LED000034,Campaign,CUS0000346,,0871236593,caitlinsims@example.com,PRD-CUR01,EMP00117,Converted,2025-02-16T04:30:00,19
LED000035,Web Form,,สินสมุทร หนุนสุข,0930028658,millshunter@example.com,PRD-LN03,EMP00159,New,2025-05-22T01:44:00,87
LED000036,Partner,,กวาง นาควงษ์,0987010319,moorepatrick@example.org,PRD-CUR01,EMP00166,Contacted,2025-07-25T08:54:00,0
LED000037,Branch Walk-in,CUS0007388,,0669913598,gonzalezbarry@example.net,PRD-WL02,EMP00104,Converted,2025-10-30T12:04:00,61
LED000038,Branch Walk-in,CUS0006396,,0833583200,simonvictoria@example.org,PRD-CC04,EMP00141,Converted,2025-11-03T05:09:00,6
LED000039,Web Form,CUS0000421,,0961693710,hosally@example.net,PRD-CUR01,EMP00158,Disqualified,2025-05-05T17:12:00,6
LED000040,Branch Walk-in,,สิทธิชัย งามพิเชษฐ์,0634530997,khoffman@example.org,PRD-WL02,EMP00421,Disqualified,2025-11-19T22:10:00,7
LED000041,Campaign,,ฟารินี นาคพันธุ์,0899061814,tina57@example.com,PRD-FD02,EMP00431,Qualified,2025-03-08T01:45:00,33
LED000042,Referral,,พรปราณี นวลฉวี,0986277961,zjones@example.org,PRD-LN03,EMP00205,Disqualified,2026-02-28T07:06:00,53
LED000043,Partner,CUS0008195,,0650033342,lodom@example.com,PRD-LN04,EMP00033,New,2025-04-26T03:13:00,58
LED000044,Cold Call,,คำ โพธิสัตย์,0676504422,andrew09@example.com,PRD-LN01,EMP00276,Qualified,2025-10-07T06:34:00,75
LED000045,Web Form,CUS0005029,,0812766942,edwardtaylor@example.com,PRD-SAV02,EMP00383,Qualified,2025-10-02T15:38:00,36
